category,image_name,fog_path,gt_path,mae,mse,psnr,ssim
artwork,image0821.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0821.jpeg,archive/artwork/image0821.jpeg,0.042578328400850296,0.003040602430701256,25.17040359026732,0.725062370300293
artwork,image0831.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0831.jpeg,archive/artwork/image0831.jpeg,0.04673488810658455,0.004676619078963995,23.300680833341435,0.6491915583610535
artwork,image0842.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0842.jpeg,archive/artwork/image0842.jpeg,0.06363580375909805,0.007783608045428991,21.08819064412763,0.6067473888397217
artwork,image0852.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0852.jpeg,archive/artwork/image0852.jpeg,0.08498907834291458,0.010907788760960102,19.622630665257905,0.7869485020637512
artwork,image0862.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0862.jpeg,archive/artwork/image0862.jpeg,0.06897524744272232,0.007720254827290773,21.12368530345801,0.6275184750556946
artwork,image0872.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0872.jpeg,archive/artwork/image0872.jpeg,0.10637664794921875,0.01874440349638462,17.271284223693392,0.6043350696563721
artwork,image0882.png,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0882.png,archive/artwork/image0882.png,0.05618494376540184,0.005622479598969221,22.50071967155047,0.8120563626289368
artwork,image0892.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0892.jpeg,archive/artwork/image0892.jpeg,0.051240015774965286,0.005183401983231306,22.853851125240972,0.6507571339607239
artwork,image0902.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0902.jpeg,archive/artwork/image0902.jpeg,0.022618336603045464,0.0018321481766179204,27.370394540351196,0.8751735687255859
artwork,image0912.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0912.jpeg,archive/artwork/image0912.jpeg,0.05915101245045662,0.007774013560265303,21.093547997685942,0.7223634719848633
cars,image0000.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0000.jpg,archive/cars/image0000.jpg,0.08513017743825912,0.011982846073806286,19.214400315911345,0.76849764585495
cars,image0010.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0010.jpg,archive/cars/image0010.jpg,0.039755236357450485,0.002730022417381406,25.63833699381692,0.8694985508918762
cars,image0020.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0020.jpg,archive/cars/image0020.jpg,0.062154900282621384,0.005984529387205839,22.22970023881321,0.5842984318733215
cars,image0030.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0030.jpg,archive/cars/image0030.jpg,0.04860973358154297,0.00396202364936471,24.020829483437623,0.5714924335479736
cars,image0040.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0040.jpg,archive/cars/image0040.jpg,0.03535198047757149,0.0024932066444307566,26.03241773355424,0.7941250801086426
cars,image0050.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0050.jpg,archive/cars/image0050.jpg,0.040567804127931595,0.003796247998252511,24.206453501725782,0.8271366953849792
cars,image0060.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0060.jpg,archive/cars/image0060.jpg,0.030727123841643333,0.002434477908536792,26.13594246106434,0.7895439267158508
cars,image0070.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0070.jpg,archive/cars/image0070.jpg,0.04647184535861015,0.0042515466921031475,23.71452942891244,0.7423236966133118
cars,image0080.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0080.jpg,archive/cars/image0080.jpg,0.05577215552330017,0.004867685958743095,23.126775187314994,0.7201077342033386
cars,image0090.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0090.jpg,archive/cars/image0090.jpg,0.03539513051509857,0.0025666365399956703,25.906356881770904,0.7913005352020264
cars,image0100.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0100.jpg,archive/cars/image0100.jpg,0.03753022477030754,0.002875084290280938,25.413493662270078,0.7089762091636658
cars,image0110.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0110.jpg,archive/cars/image0110.jpg,0.05678294599056244,0.005497215781360865,22.598572796949654,0.7370569109916687
cars,image0120.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0120.jpg,archive/cars/image0120.jpg,0.0351392887532711,0.002456818940117955,26.09626855813365,0.7822859287261963
cars,image0130.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0130.jpg,archive/cars/image0130.jpg,0.04598790034651756,0.0039037757087498903,24.085150856046592,0.6094207167625427
cars,image0140.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0140.jpg,archive/cars/image0140.jpg,0.060120776295661926,0.005516545847058296,22.583328326061007,0.753594696521759
cars,image0150.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0150.jpg,archive/cars/image0150.jpg,0.02498699724674225,0.0011292928829789162,29.471933990515108,0.9428444504737854
cars,image0160.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0160.jpg,archive/cars/image0160.jpg,0.036777906119823456,0.002971774898469448,25.269839884571002,0.8327629566192627
cars,image0170.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0170.jpg,archive/cars/image0170.jpg,0.025252608582377434,0.0012153651332482696,29.152932216440732,0.8941184878349304
cars,image0180.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0180.jpg,archive/cars/image0180.jpg,0.032135602086782455,0.002488959114998579,26.03982266894875,0.8128449320793152
cars,image0190.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0190.jpg,archive/cars/image0190.jpg,0.28410962224006653,0.11318264156579971,9.462202023088663,0.16325314342975616
cars,image0200.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0200.jpg,archive/cars/image0200.jpg,0.04294824227690697,0.003732253797352314,24.28028769929845,0.8032283186912537
cars,image0210.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0210.jpg,archive/cars/image0210.jpg,0.031434640288352966,0.0020715196151286364,26.837110076478293,0.7896212935447693
cars,image0220.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0220.jpg,archive/cars/image0220.jpg,0.028430400416254997,0.0018082138849422336,27.42750138309813,0.8676631450653076
cars,image0230.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0230.jpg,archive/cars/image0230.jpg,0.0263251680880785,0.0011682779295369983,29.324539341054635,0.9011905193328857
cars,image0240.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0240.jpg,archive/cars/image0240.jpg,0.032970819622278214,0.0028156593907624483,25.50419838038463,0.7891119122505188
cars,image0250.jpg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/cars/image0250.jpg,archive/cars/image0250.jpg,0.0641387403011322,0.006722399964928627,21.724756143815696,0.7303097248077393
